-----
{
 "description": "The table provides Exports, Imports and Trade Balance (Us $ Mn.) since 1949-50. The table also provides the percentage rate of change of exports as well as imports with respect to the previous year.\r", 
 "file_name": "tab71.xls", 
 "title": "Download XLS for Exports, Imports and Trade Balance (Us $ Mn.)(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab71.xls"
}
-----
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"7.1 (A):  EXPORTS, IMPORTS AND TRADE BALANCE","","","","","","","","","7.1 (B): EXPORTS, IMPORTS AND TRADE BALANCE","","","","",""
"","","","","(Rs. crore)","","","","","","","","","(US $ Million)",""
"Year","Exports","Imports","Trade","    Rate of Change","","","","","Year","Exports","Imports","Trade","Rate of Change",""
"","(including","","Balance","Export","Import","","","","","(including","","Balance","Export","Import"
"","re-exports)","","","(per cent)","","","","","","re-exports)","","","(per cent)",""
1.0,2.0,3.0,4.0,5.0,6.0,"","","",1.0,2.0,3.0,4.0,5.0,6.0
"1949-50",485.0,617.0,-132.0,"na","na","","","","1949-50",1016.0,1292.0,-276.0,"na","na"
"1950-51",606.0,608.0,-2.0,24.9484536082,-1.45867098865,"","","","1950-51",1269.0,1273.0,-4.0,24.9015748031,-1.47058823529
"1951-52",716.0,890.0,-174.0,18.1518151815,46.3815789474,"","","","1951-52",1490.0,1852.0,-362.0,17.4152876281,45.483110762
"1952-53",578.0,702.0,-124.0,-19.2737430168,-21.1235955056,"","","","1952-53",1212.0,1472.0,-260.0,-18.6577181208,-20.5183585313
"1953-54",531.0,610.0,-79.0,-8.13148788927,-13.1054131054,"","","","1953-54",1114.0,1279.0,-165.0,-8.08580858086,-13.1114130435
"1954-55",593.0,700.0,-107.0,11.6760828625,14.7540983607,"","","","1954-55",1233.0,1456.0,-223.0,10.6822262118,13.8389366693
"1955-56",609.0,774.0,-165.0,2.6981450253,10.5714285714,"","","","1955-56",1275.0,1620.0,-345.0,3.40632603406,11.2637362637
"1956-57",605.0,841.0,-236.0,-0.656814449918,8.65633074935,"","","","1956-57",1259.0,1750.0,-491.0,-1.25490196078,8.02469135802
"1957-58",561.0,1035.0,-474.0,-7.27272727273,23.0677764566,"","","","1957-58",1171.0,2160.0,-989.0,-6.98967434472,23.4285714286
"1958-59",581.0,906.0,-325.0,3.56506238859,-12.4637681159,"","","","1958-59",1219.0,1901.0,-682.0,4.09906063194,-11.9907407407
"1959-60",640.0,961.0,-321.0,10.1549053356,6.0706401766,"","","","1959-60",1343.0,2016.0,-673.0,10.1722723544,6.04944765913
"1960-61",642.0,1122.0,-480.0,0.3125,16.7533818939,"","","","1960-61",1346.0,2353.0,-1007.0,0.223380491437,16.7162698413
"1961-62",660.0,1090.0,-430.0,2.80373831776,-2.85204991087,"","","","1961-62",1381.0,2281.0,-900.0,2.60029717682,-3.05992350191
"1962-63",685.0,1131.0,-446.0,3.78787878788,3.76146788991,"","","","1962-63",1437.0,2372.0,-935.0,4.05503258508,3.98947829899
"1963-64",793.0,1223.0,-430.0,15.7664233577,8.13439434129,"","","","1963-64",1659.0,2558.0,-899.0,15.4488517745,7.84148397976
"1964-65",816.0,1349.0,-533.0,2.90037831021,10.3025347506,"","","","1964-65",1701.0,2813.0,-1112.0,2.53164556962,9.96872556685
"1965-66",810.0,1409.0,-599.0,-0.735294117647,4.44773906597,"","","","1965-66",1693.0,2944.0,-1251.0,-0.470311581423,4.65694987558
"1966-67",1157.0,2078.0,-921.0,42.8395061728,47.4804826118,"","","","1966-67",1628.0,2923.0,-1295.0,-3.83933845245,-0.713315217391
"1967-68",1199.0,2008.0,-809.0,3.63007778738,-3.36862367661,"","","","1967-68",1586.0,2656.0,-1070.0,-2.57985257985,-9.1344509066
"1968-69",1358.0,1909.0,-551.0,13.2610508757,-4.93027888446,"","","","1968-69",1788.0,2513.0,-725.0,12.736443884,-5.38403614458
"1969-70",1413.0,1582.0,-169.0,4.0500736377,-17.1293871137,"","","","1969-70",1866.0,2089.0,-223.0,4.36241610738,-16.872264226
"1970-71",1535.0,1634.0,-99.0,8.63411181883,3.28697850822,"","","","1970-71",2031.0,2162.0,-131.0,8.8424437299,3.49449497367
"1971-72",1608.0,1825.0,-217.0,4.75570032573,11.6891064871,"","","","1971-72",2153.0,2443.0,-290.0,6.00689315608,12.9972247919
"1972-73",1971.0,1867.0,104.0,22.5746268657,2.30136986301,"","","","1972-73",2550.0,2415.0,135.0,18.439386902,-1.14613180516
"1973-74",2523.0,2955.0,-432.0,28.0060882801,58.2753079807,"","","","1973-74",3209.0,3759.0,-550.0,25.8431372549,55.652173913
"1974-75",3329.0,4519.0,-1190.0,31.9460959176,52.9272419628,"","","","1974-75",4174.0,5666.0,-1492.0,30.0716734185,50.7315775472
"1975-76",4036.0,5265.0,-1229.0,21.2376088916,16.5080770082,"","","","1975-76",4665.0,6084.0,-1419.0,11.763296598,7.37733851041
"1976-77",5142.0,5074.0,68.0,27.4033696729,-3.6277302944,"","","","1976-77",5753.0,5677.0,76.0,23.3226152197,-6.68967784352
"1977-78",5408.0,6020.0,-612.0,5.17308440296,18.6440677966,"","","","1977-78",6316.0,7031.0,-715.0,9.78619850513,23.8506253303
"1978-79",5726.0,6811.0,-1085.0,5.88017751479,13.1395348837,"","","","1978-79",6978.0,8300.0,-1322.0,10.4813172894,18.0486417295
"1979-80",6418.0,9143.0,-2725.0,12.0852252882,34.2387314638,"","","","1979-80",7947.0,11321.0,-3374.0,13.8865004299,36.3975903614
"1980-81",6711.0,12549.0,-5838.0,4.56528513556,37.252542929,"","","","1980-81",8486.0,15869.0,-7383.0,6.78243362275,40.1731295822
"1981-82",7806.0,13608.0,-5802.0,16.3164953062,8.43891943581,"","","","1981-82",8704.0,15174.0,-6470.0,2.56893707283,-4.37960804083
"1982-83",8803.0,14293.0,-5490.0,12.7722264924,5.03380364491,"","","","1982-83",9107.0,14787.0,-5680.0,4.63005514706,-2.55041518387
"1983-84",9771.0,15831.0,-6060.0,10.996251278,10.7605121388,"","","","1983-84",9449.0,15311.0,-5862.0,3.75535302515,3.5436532089
"1984-85",11744.0,17134.0,-5390.0,20.1924060997,8.2306866275,"","","","1984-85",9878.0,14412.0,-4534.0,4.54016298021,-5.87159558487
"1985-86",10895.0,19658.0,-8763.0,-7.22922343324,14.7309443212,"","","","1985-86",8904.0,16067.0,-7163.0,-9.8602956064,11.4834859839
"1986-87",12452.0,20096.0,-7644.0,14.2909591556,2.22810051887,"","","","1986-87",9745.0,15727.0,-5982.0,9.44519317161,-2.11613866932
"1987-88",15674.0,22244.0,-6570.0,25.8753613877,10.6886942675,"","","","1987-88",12089.0,17156.0,-5067.0,24.0533606978,9.08628473326
"1988-89",20232.0,28235.0,-8003.0,29.080005104,26.9331055566,"","","","1988-89",13970.0,19497.0,-5527.0,15.559599636,13.6453718816
"1989-90",27658.0,35328.0,-7670.0,36.7042309213,25.1213033469,"","","","1989-90",16612.0,21219.0,-4607.0,18.9119541875,8.8321280197
"1990-91",32553.0,43198.0,-10645.0,17.6983151349,22.2769474638,"","","","1990-91",18143.0,24075.0,-5932.0,9.21622923188,13.4596352326
"1991-92",44041.0,47851.0,-3810.0,35.2901422296,10.7713320061,"","","","1991-92",17865.0,19411.0,-1546.0,-1.53227139944,-19.3727933541
"1992-93",53688.0,63375.0,-9687.0,21.9045889058,32.4423732001,"","","","1992-93",18537.0,21882.0,-3345.0,3.76154492024,12.7298954201
"1993-94",69751.0,73101.0,-3350.0,29.9191625689,15.3467455621,"","","","1993-94",22238.0,23306.0,-1068.0,19.9654744565,6.50763184352
"1994-95",82674.0,89971.0,-7297.0,18.5273329415,23.0776596763,"","","","1994-95",26330.0,28654.0,-2324.0,18.4009353359,22.9468806316
"1995-96",106353.0,122678.0,-16325.0,28.6414108426,36.3528247991,"","","","1995-96",31797.0,36678.0,-4881.0,20.7633877706,28.0030711245
"1996-97",118817.0,138920.0,-20103.0,11.7194625445,13.2395376514,"","","","1996-97",33470.0,39133.0,-5663.0,5.26150265748,6.69338568079
"1997-98",130100.0,154176.0,-24076.0,9.49611587567,10.9818600633,"","","","1997-98",35006.0,41484.0,-6478.0,4.58918434419,6.00771727187
"1998-99",139752.0,178332.0,-38580.0,7.4189085319,15.6678082192,"","","","1998-99",33218.0,42389.0,-9171.0,-5.10769582357,2.18156397647
"1999-2000",159561.0,215236.0,-55675.0,14.1743946419,20.6939864971,"","","","1999-2000",36822.0,49671.0,-12849.0,10.8495394063,17.1789851141
"2000-01",203571.01,230872.76,-27301.75,27.5819341819,7.26493709231,"","","","2000-01",44075.53,49974.75,-5899.22,19.6989028298,0.61152382678
"2001-02",209017.97,245199.72,-36181.75,2.67570515075,6.20556535124,"","","","2001-02",43826.72,51413.28,-7586.56,-0.564508243009,2.87851364939
"2002-03",255137.28,297205.87,-42068.59,22.0647583555,21.2097101905,"","","","2002-03",52719.43,61412.13,-8692.7,20.2906126673,19.4479908693
"2003-04",293366.75,359107.66,-65740.91,14.9838824024,20.8279163531,"","","","2003-04",63842.55,78149.11,-14306.56,21.0987106651,27.2535409536
"2004-05",375339.53,501064.54,-125725.01,27.9420827343,39.5304516757,"","","","2004-05",83535.94,111517.43,-27981.49,30.846809847,42.6982725715
"2005-06",456417.86,660408.9,-203991.04,21.6013298679,31.8011647761,"","","","2005-06",103090.53,149165.73,-46075.2,23.4085951508,33.7600140175
"2006-07",571779.29,840506.31,-268727.02,25.2753978558,27.2705909929,"","","","2006-07",126414.05,185735.24,-59321.19,22.6243089448,24.5160265699
