-----
{
 "description": "The table shows the Authorization of External Assistance by Source (in Rs. Cr.) since 2000-01. It gives details of the Country-wise distribution (including International Institutions) and Type of Assistance.", 
 "file_name": "tab82.xls", 
 "title": "Download XLS for Authorization of External Assistance by Source (US $ Mn.)(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab82.xls"
}
-----
"8.2 (A): AUTHORIZATION OF EXTERNAL ASSISTANCE BY SOURCE","","","","","","","",""
"","","","","","","","","(` crore)"
"Source and type of assistance","2000-01","2006-07","2007-08","2008-09","2009-10 ","2010-11","2011-12 ","2012-13 P"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
"I. Consortium Members","","","","","","","",""
"         (a) Loans",11918.5,21150.08,22206.92,19953.62,43501.03,28729.75,46742.64,18156.56
"         (b) Grants",923.0,2596.44,3928.17,6.19,868.79,1185.09,230.24,722.2
"              Total",12841.5,23746.52,26135.09,19959.81,44369.82,29914.84,46972.8,18878.76
"   Country-wise Distribution","","","","","","","",""
"      (i) Austria","","","","","","","",""
"          Loans","...","...","...","...","...","...","...","..."
"     (ii) Belgium","","","","","","","",""
"         (a) Loans","...","...","...","...","...","...","...","..."
"         (b) Grants","...","...","...","...","...","...","...","..."
"              Total","...","...","...","...","...","...","...","..."
"    (iii) Canada","","","","","","","",""
"         (a) Loans","...","...","...","...","...","...","...","..."
"         (b) Grants",20.6,"...","...","...","...","...","...","..."
"              Total",20.6,"...","...","...","...","...","...","..."
"    (iv) Denmark","","","","","","","",""
"         Grants",15.6,"...","...","...","...","...","...","..."
"    (v) France","","","","","","","",""
"         Loans","...","...","...","...","...","...",823.1,"..."
"   (vi) Germany","","","","","","","",""
"         (a) Loans",187.7,116.06,1034.8,762.29,2069.2,1504.03,2960.75,347.31
"         (b) Grants",5.5,152.61,"...","...",60.36,12.03,"...",24.31
"              Total",193.2,268.67,1034.8,762.3,2129.56,1516.0,2960.75,371.6
"    (vii) Italy","","","","","","","",""
"          Loans","...","...","...","...","...","...","...","..."
"   (viii) Japan","","","","","","","",""
"         (a) Loans",784.1,7009.14,8247.3,10445.29,11151.37,2557.43,16186.21,8694.04
"         (b) Grants",2.2,2409.38,"...","...",7.51,41.92,"...","..."
"              Total",786.3,9418.52,8247.3,10445.29,11158.88,2599.3,16186.21,8694.04
"    (ix) Netherlands","","","","","","","",""
"         (a) Loans","...","...","...","...","...","...","...","..."
"         (b) Grants",6.5,"...","...","...","...","...","...","..."
"              Total",6.5,"...","...","...","...","...","...","..."
"    (x) Sweden","","","","","","","",""
"         Grants","...","...","...","...","...","...","...","..."
"    (xi) U.K.","","","","","","","",""
"          Grants",474.7,"...",3895.8,"...",379.21,905.29,160.17,688.36
"    (xii) U.S.A.","","","","","","","",""
"         (a) Loans","...","...","...","...","...","...","...","..."
"         (b) Grants",0.8,"...","...","...","...",156.62,"...","..."
"              Total",0.8,"...","...","...","...",156.62,"...","..."
"   (xiii) I.B.R.D.","","","","","","","",""
"         (a) Loans",6816.8,6842.6,7777.9,3247.69,27684.31,8237.1,15419.61,2287.22
"         (b) Grants",391.7,11.5,9.5,3.61,421.71,60.58,70.07,9.53
"              Total",7208.5,6854.1,7787.4,3251.3,28106.02,8297.68,15489.68,2296.7
"    (xiv) I.D.A.","","","","","","","",""
"         (a) Loans",4129.9,7182.28,5146.8,5498.35,2596.15,16431.18,11352.98,6827.99
"         (b) Grants",5.4,22.95,22.9,2.58,"...",8.65,"...","..."
"              Total",4135.3,7205.23,5169.7,5500.93,2596.15,16439.9,11352.98,6828.0
"II. Russia Fed. & East European Countries","","","","","","",""," "
"          Loans","...","...","...","...","...","...","...","..."
"   Country-wise Distribution","","","","","","","",""
"     (i) Russia Fed.","","","","","","","",""
"         Loans","...","...","...","...","...","...","...","..."
"","","","","","","","","Contd…"
"8.2 (A): AUTHORIZATION OF EXTERNAL ASSISTANCE BY SOURCE (Concl.)","","","","","","","",""
"","","","","","","","","(` crore)"
"Source and type of assistance","2000-01","2006-07","2007-08","2008-09","2009-10 ","2010-11","2011-12 ","2012-13 P"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
"III. Others","","","","","","","",""
"         (a) Loans",5265.6,7120.89,6781.5,8329.8,5467.77,7165.31,12633.9,5709.57
"         (b) Grants",17.6,922.5,366.2,1236.29,88.82,351.45,865.2,"..."
"             Total",5283.2,8043.39,7147.7,9566.09,5556.59,7516.76,13499.1,5709.57
"   (i) Switzerland","","","","","","","",""
"           Grants","...","...","...","...","...","...","...","..."
"   (ii) European Economic Community","","","","","","","",""
"           Grants","...",844.3,"...",1147.51,"...",4.3,"...","..."
"   (iii) O.P.E.C. Fund","","","","","","","",""
"           Loans","...","...","...",137.23,"...","...","...","..."
"   (iv) Saudi Arab Fund for Development","","","","","","","",""
"           Loans","...","...","...","...","...","...","...","..."
"   (v) Kuwait Fund for Arabic","","","","","","","",""
"         Economic Development","","","","","","","",""
"         Grants","...","...","...","...","...","...","...","..."
"   (vi) IFAD (International Fund for","","","","","","","",""
"        Agricultural Development ","","","","","","","",""
"         (a) Loans","...",186.7,65.2,276.9,197.85,87.86,426.49,"..."
