-----
{
 "description": "The table provides Gross Enrolment Ratio in Classes I-V, VI-VIII and I-VIII across states. It gives state-wise details for girls and boys.", 
 "file_name": "tab92.xls", 
 "title": "Download XLS for Gross Enrolment Ratio in Classes I-V, VI-VIII and I-VIII(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab92.xls"
}
-----
"9.2 : GROSS ENROLMENT RATIO IN CLASSES I-V AND VI-VIII AND I-VIII","","","","","","","","","","A122"
"A. All Categories of Students","","","","","","","","","",""
"Sl. No.","State/Union Territories","Classes I-V (6-10 years)","","","Classes VI-VIII (11-13 years) ","","","Classes I-VIII (6-13 years)","",""
"","","Boys","Girls","Total","Boys","Girls","Total","Boys","Girls","Total"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0
1.0,"Andhra Pradesh",99.6789359427,99.3825974513,99.5334948048,80.2801793342,79.9119557105,80.0985040392,92.1649908372,91.7928884159,91.9819908854
2.0,"Arunachal Pradesh",184.512494492,176.923827966,180.781753746,108.494695643,102.575585007,105.542933857,155.677644945,148.226007893,151.994132435
3.0,"Assam",93.0825743189,95.5737834761,94.3106372996,67.1710440791,68.698592272,67.9250346243,82.958162453,85.0565397858,83.9930980017
4.0,"Bihar",131.331276398,123.641547461,127.684848727,68.4371628076,60.4483040321,64.5650657712,106.942749042,98.5033864847,102.906087129
5.0,"Chhattisgarh",125.553538259,119.987027929,122.813790231,90.1530715303,84.718600786,87.463713024,112.173564915,106.567733776,109.408753472
6.0,"Goa",106.912768973,101.524656156,104.273342755,99.2213338889,92.2069059642,95.7965722206,103.973648333,97.9782868422,101.040448913
7.0,"Gujarat",119.3854527,121.423933305,120.326637327,89.5011220556,81.5122744024,85.7305243673,108.194336164,106.089904182,107.214506913
8.0,"Haryana",90.6201582408,100.215378149,94.9070832916,82.308236082,84.845032499,83.4787458587,87.4851544429,94.2034688705,90.5244504737
9.0,"Himachal Pradesh",109.09889671,109.363210579,109.224536835,115.964892731,111.374537083,113.774420321,111.745371393,110.141997875,110.982073583
10.0,"Jammu & Kashmir",108.269663582,111.710930555,109.894688933,96.5737791197,92.6262174908,94.6849574704,103.931432141,104.519883917,104.210686003
11.0,"Jharkhand",145.87212513,148.45190825,147.130911311,81.7038530624,80.9600558588,81.3369448247,120.579524142,121.503611851,121.03238631
12.0,"Karnataka",105.21878257,104.117242044,104.684289683,92.1563066096,89.1273237692,90.6707716526,100.188141736,98.2700055969,99.2535396742
13.0,"Kerala",91.38266098,91.4780284428,91.4293677889,106.490129021,101.3212569,103.92934515,97.088134716,95.2480197822,96.1829607309
14.0,"Madhya Pradesh",131.212101528,139.656795603,135.235683551,100.158028982,102.614887149,101.35764599,119.775562422,125.604956148,122.578772128
15.0,"Maharashtra",105.485966601,103.735008215,104.653516942,95.0920060597,89.5622694214,92.421936738,101.53842047,98.2525516041,99.9668796145
16.0,"Manipur",195.712670846,188.363037766,192.086506974,108.456960858,100.760581067,104.649734583,158.729632437,151.121963056,154.971969282
17.0,"Meghalaya",193.660413153,196.307774309,194.976567409,85.8817085278,96.1670677209,91.0137735062,150.819865465,156.32936871,153.562928327
18.0,"Mizoram",191.734205644,180.030480188,185.950117298,108.174386921,101.29613428,104.753770788,155.610526753,145.753100004,150.725640703
19.0,"Nagaland",103.733649332,102.76786753,103.265634029,59.3878812861,60.6713144397,60.008646204,85.3568702392,85.3608610857,85.3588026695
20.0,"Odisha",118.734698489,120.10699775,119.39783898,83.2536029689,80.7407458127,82.0268872802,104.956649369,104.634843745,104.800520955
21.0,"Punjab",109.112021057,108.329474472,108.764062807,95.8131565896,91.7179219734,93.9603375135,104.08778769,101.930373,103.122095735
22.0,"Rajasthan",110.29474082,109.542464315,109.941719677,91.0382020956,72.9822450855,82.3741281184,102.950587287,95.231317285,99.2966395875
23.0,"Sikkim",164.416885285,158.749401818,161.58776924,71.2003007801,86.5546218487,78.7948602237,121.70298906,125.99507636,123.836598547
24.0,"Tamil Nadu",111.011599138,112.55922563,111.758451636,113.025020843,111.533551684,112.299081668,111.763243801,112.172330306,111.961297198
25.0,"Tripura",134.911286216,133.26821928,134.101959078,92.237074401,91.5020940374,91.8745074652,115.98432478,114.713881824,115.358129456
26.0,"Uttar Pradesh",123.804240023,130.353593635,126.877590271,84.1325454046,75.4674811649,79.9458322374,109.327695639,109.61051345,109.461870762
27.0,"Uttarakhand",107.853487766,110.165781662,108.954901361,102.564606877,109.236371584,105.751772011,105.891443568,109.819792864,107.764646398
28.0,"West Bengal",91.450311341,93.9210590348,92.6622029594,84.5968663664,88.0277160114,86.2940868691,88.7187822796,91.5484235654,90.1114678101
29.0,"A&N Islands",87.5351644417,84.8974065202,86.2281629809,89.4342031761,86.3580196062,87.9205512769,88.2769154043,85.4631313615,86.8864607477
30.0,"Chandigarh",78.5850404955,78.0844760952,78.3525445351,84.4599703596,77.1207079889,81.0209592388,80.700168781,77.7338192347,79.3179848919
31.0,"D&N Haveli",104.295489736,107.03068239,105.58632695,100.731707317,100.451441139,100.603525862,103.088764824,104.888436605,103.929369928
32.0,"Daman & Diu",76.5266856282,82.616783795,79.2510402219,72.4462365591,81.3151411787,76.3551323812,75.0616621984,82.1574266034,78.2192066185
33.0,"Delhi",125.974294453,129.638853898,127.664879535,110.904427657,106.423321947,108.796118998,120.01029096,120.246135689,120.119957441
34.0,"Lakshadweep",81.4438502674,80.8391608392,81.1483253589,73.9976644609,92.9577464789,83.0415309446,78.4117926771,85.6370395404,81.9088901611
35.0,"Puducherry",104.818792192,102.270094541,103.557860292,106.759641383,99.6830925598,103.226863927,105.578199474,101.246781407,103.427645449
"","INDIA",115.392233047,116.687428266,116.009327937,87.7469309691,83.0825298827,85.4849292923,104.89396427,103.655376436,104.299800907
"Source: Statistics of School Education- 2010-11(Provisional).","","","","","","","","","",""
